participant,EQ_resp,EQ_RT,EQ_item
3,1,9.01232,0
3,3,8.65145,1
3,4,4.1345,2
3,4,13.518715,3
3,3,7.93269,4
3,2,4.379845,5
3,3,6.09537,6
3,2,4.33131,7
3,1,3.952575,8
3,2,7.778365,9
3,4,7.116145,10
3,3,6.16515,11
3,3,10.313795,12
3,3,7.882315,13
3,3,17.147315,14
3,4,5.3042,15
3,3,5.92779,16
3,4,5.93203,17
3,3,6.363705,18
3,1,4.23566,19
3,3,5.545695,20
3,2,4.39979,21
3,3,8.41942,22
3,4,3.698785,23
3,3,5.331515,24
3,2,5.569175,25
3,3,5.512495,26
3,3,6.913435,27
3,3,6.146335,28
3,4,4.879545,29
3,4,3.167675,30
3,3,5.381725,31
3,1,3.29322,32
3,2,6.973955,33
3,3,3.684715,34
3,3,8.84618,35
3,3,4.682545,36
3,1,4.68139,37
3,3,4.93285,38
3,4,5.630755,39
3,2,9.116105,40
3,1,4.949045,41
3,2,7.31706,42
3,2,5.24125,43
3,1,5.51732,44
3,4,4.922275,45
3,1,3.66707,46
3,3,4.784145,47
3,3,8.81215,48
3,3,6.814255,49
3,2,9.21314,50
3,2,5.97123,51
3,2,4.51698,52
3,3,5.5298,53
3,3,4.49685,54
3,2,3.56337,55
3,1,7.619955,56
3,3,5.650565,57
3,2,4.07094,58
3,3,5.59649,59
