participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
45,2,17.6591,1,positive
45,4,1.9033,2,none
45,2,2.1221,3,none
45,4,24.5344,4,negative
45,3,2.3124,5,none
45,1,2.0828,6,positive
45,3,2.5996,7,none
45,3,1.9542,8,negative
45,4,2.0657,9,none
45,3,3.1307,10,negative
45,4,2.3533,11,negative
45,4,2.2791,12,negative
45,3,2.0472,13,none
45,3,1.7132,14,negative
45,4,8.0531,15,negative
45,3,1.9833,16,none
45,2,2.3717,17,none
45,4,2.3333,18,negative
45,2,3.0962,19,positive
45,1,1.7953,20,none
45,3,2.8435,21,negative
45,1,1.4051,22,positive
45,4,3.8451,23,none
45,2,3.1441,24,none
45,2,1.3617,25,positive
45,2,1.5524,26,positive
45,3,4.4476,27,negative
45,4,3.084,28,negative
45,3,4.7728,29,negative
45,2,3.4069,30,none
45,3,1.9296,31,none
45,4,2.0309,32,negative
45,2,1.201,33,none
45,3,1.2287,34,negative
45,2,3.2722,35,positive
45,2,2.2369,36,positive
45,2,7.5071,37,positive
45,1,1.2321,38,positive
45,3,3.4904,39,negative
45,2,3.5047,40,none
45,2,2.5989,41,positive
45,1,1.7984,42,positive
45,1,3.3615,43,positive
45,1,2.3266,44,positive
45,2,3.0212,45,none
45,4,2.8589,46,negative
45,4,3.7025,47,none
45,4,2.9674,48,negative
45,3,3.9069,49,negative
45,4,3.5382,50,negative
45,4,2.0834,51,none
45,2,2.5217,52,positive
45,3,1.159,53,none
45,2,4.931,54,positive
45,2,2.2087,55,positive
45,2,2.8215,56,none
45,1,2.1723,57,positive
45,2,1.7259,58,positive
45,2,1.9218,59,positive
45,2,2.3677,60,positive
