Particiapnt,total_comp,total_perc
1,11,91.66666667
2,9,75
3,9,75
4,9,75
5,10,83.33333333
6,9,75
7,10,83.33333333
8,10,83.33333333
9,8,66.66666667
10,10,83.33333333
11,10,83.33333333
12,11,91.66666667
13,10,83.33333333
14,10,83.33333333
15,9,75
16,11,91.66666667
17,11,91.66666667
18,11,91.66666667
19,10,83.33333333
20,11,91.66666667
21,8,66.66666667
22,10,83.33333333
23,10,83.33333333
24,10,83.33333333
25,11,91.66666667
26,10,83.33333333
27,11,91.66666667
28,10,83.33333333
29,8,66.66666667
30,11,91.66666667
31,10,83.33333333
32,11,91.66666667
33,11,91.66666667
34,11,91.66666667
35,11,91.66666667
36,11,91.66666667
37,10,83.33333333
38,10,83.33333333
39,10,83.33333333
40,11,91.66666667
42,9,75
43,11,91.66666667
44,9,75
45,11,91.66666667
46,9,75
47,10,83.33333333
48,11,91.66666667
49,11,91.66666667
50,8,66.66666667
51,11,91.66666667
52,10,83.33333333
53,10,83.33333333
54,10,83.33333333
55,11,91.66666667
56,11,91.66666667
57,11,91.66666667
58,10,83.33333333
59,10,83.33333333
60,10,83.33333333
,,
,overall_average,84.3220339
,ASC average,82.77777778
,TD average,85.91954023
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
