participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
26,2.545055,2.959185,3.143475,3.068935,1.89482,2.443245,n,0.96845,1,6,1
26,3.23358,4.084655,2.0271,2.860585,2.08035,1.615565,n,0.789595,3,8,1
26,4.64246,11.650155,1.734125,1.80206,2.321385,1.995425,y,1.885535,3,2,1
26,8.38934,5.782465,1.54127,2.21452,1.69442,2.80229,space,0.32991,2,19,1
26,3.939585,4.65169,3.61784,3.560315,2.972065,1.53706,y,0.851105,1,3,1
26,3.39387,2.933145,2.32818,2.81434,1.88394,1.884535,y,0.60524,1,9,1
26,8.39162,6.059005,1.23801,1.99565,2.286075,1.698665,space,1.10181,1,21,1
26,3.07605,6.96186,1.449595,2.983675,1.745165,2.695255,space,0.003285,3,20,1
26,2.766185,5.60976,1.60993,2.519285,1.72787,2.29414,space,0.079965,1,24,1
26,3.608505,4.880395,1.7505,1.91125,1.81921,2.928485,space,0.143665,3,14,1
26,2.80757,5.844035,1.25403,2.343965,2.2291,1.61227,n,1.721535,3,11,1
26,3.53301,2.449295,1.57945,2.93569,2.250135,1.61105,n,0.9023,2,10,1
26,1.91172,3.398395,1.732645,2.01007,2.28525,1.401405,space,0.51973,2,13,1
26,3.672645,3.59754,3.39796,1.88663,2.09569,1.604715,space,0.243735,3,23,1
26,3.656915,4.677575,1.41215,3.028685,2.256785,1.27075,space,0.301785,2,22,1
26,3.81555,8.0799,2.620715,3.835365,2.536985,2.55526,y,0.70478,2,1,1
26,4.51773,5.14412,1.260745,1.456905,2.34411,1.27016,space,0.192535,1,15,1
26,4.678405,3.88554,1.840485,1.4124,1.12676,1.299675,n,0.644095,2,7,1
26,2.15142,3.50583,1.794635,1.89457,1.594685,1.487165,n,2.21949,1,12,1
26,2.2944,3.876935,1.652815,2.370735,1.794265,1.352455,space,0.256465,1,18,1
26,3.094115,2.695015,1.185805,1.995365,1.937665,0.89581,y,0.784745,3,5,1
26,1.947555,3.53472,1.40182,1.633065,1.345415,1.336355,space,0.328565,2,16,1
26,3.59158,1.74418,1.64877,1.589635,1.151675,0.978705,y,0.40131,2,4,1
26,2.79199,5.21601,1.227755,1.96109,0.965865,1.079535,space,0.1772,3,17,1
