,participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number,Group_Status,RT1ms,RT2ms,RT3ms,RT4ms,RT5ms,RT6ms,TT
1,1,3.86202,3.0311,3.027075,3.185625,2.34516,2.574975,space,1.91416,Neutral,18,1,ASC,3862.02,3031.1,3027.075,3185.625,2345.16,2574.975,18025.955
2,1,3.689965,2.91188,4.29264,2.12851,2.10263,2.931985,space,2.38662,Negative,16,1,ASC,3689.965,2911.88,4292.64,2128.51,2102.63,2931.985,18057.61
3,1,40.17427,2.32677,1.38658,2.47748,1.71481,1.886705,space,6.79493,Positive,23,1,ASC,40174.27,2326.77,1386.58,2477.48,1714.81,1886.705,49966.615
4,1,2.532765,3.27638,2.980035,2.892355,1.884795,4.178405,y,2.14088,Neutral,6,1,ASC,2532.765,3276.38,2980.035,2892.355,1884.795,4178.405,17744.735
5,1,18.809835,3.86076,1.32993,1.799345,1.838665,1.536,space,3.06845,Positive,17,1,ASC,18809.835,3860.76,1329.93,1799.345,1838.665,1536,29174.535
6,1,29.301495,4.092055,2.08108,2.160905,2.66046,2.879985,space,1.94866,Neutral,24,1,ASC,29301.495,4092.055,2081.08,2160.905,2660.46,2879.985,43175.98
7,1,2.813595,1.927985,1.48234,2.56121,1.92854,1.811495,y,1.92925,Negative,4,1,ASC,2813.595,1927.985,1482.34,2561.21,1928.54,1811.495,12525.165
8,1,40.38825,3.100395,2.61238,1.612825,2.84819,1.718485,y,2.45804,Positive,2,1,ASC,40388.25,3100.395,2612.38,1612.825,2848.19,1718.485,52280.525
9,1,8.052605,4.003165,1.7767,2.84842,2.25034,2.287955,space,1.96338,Positive,20,1,ASC,8052.605,4003.165,1776.7,2848.42,2250.34,2287.955,21219.185
10,1,4.41997,2.48726,3.37717,1.99483,1.977815,1.478535,n,1.51309,Positive,8,1,ASC,4419.97,2487.26,3377.17,1994.83,1977.815,1478.535,15735.58
11,1,2.64008,2.24324,1.826865,2.28723,2.213755,1.869155,space,2.41103,Negative,13,1,ASC,2640.08,2243.24,1826.865,2287.23,2213.755,1869.155,13080.325
12,1,3.382725,4.144445,1.747355,2.111625,2.58739,2.99357,n,2.318425,Positive,11,1,ASC,3382.725,4144.445,1747.355,2111.625,2587.39,2993.57,16967.11
13,1,1.70221,2.637135,1.829275,1.836185,1.72029,1.600345,y,1.470865,Negative,1,1,ASC,1702.21,2637.135,1829.275,1836.185,1720.29,1600.345,11325.44
14,1,4.942595,2.93877,1.582505,2.14692,3.893985,3.513705,space,1.35599,Negative,19,1,ASC,4942.595,2938.77,1582.505,2146.92,3893.985,3513.705,19018.48
15,1,4.054235,5.75869,1.866775,2.1524,3.777865,1.19919,space,1.26725,Neutral,21,1,ASC,4054.235,5758.69,1866.775,2152.4,3777.865,1199.19,18809.155
16,1,2.455275,2.289825,1.53297,2.614655,1.83963,2.89534,y,4.84397,Neutral,3,1,ASC,2455.275,2289.825,1532.97,2614.655,1839.63,2895.34,13627.695
17,1,3.12624,1.39991,1.151095,1.720685,1.29811,2.986485,n,1.66865,Negative,10,1,ASC,3126.24,1399.91,1151.095,1720.685,1298.11,2986.485,11682.525
18,1,2.375405,2.46695,1.86827,1.7588,2.56037,2.05963,space,0.98088,Positive,14,1,ASC,2375.405,2466.95,1868.27,1758.8,2560.37,2059.63,13089.425
19,1,3.508155,36.65787,1.4361,2.57119,2.340525,3.20078,y,1.395955,Neutral,9,1,ASC,3508.155,36657.87,1436.1,2571.19,2340.525,3200.78,49714.62
20,1,2.93743,3.18485,2.22632,5.99502,2.48223,2.599075,space,62.2606,Neutral,15,1,ASC,2937.43,3184.85,2226.32,5995.02,2482.23,2599.075,19424.925
21,1,3.381515,2.34258,1.90125,1.90366,2.60021,2.436425,n,2.154925,Negative,7,1,ASC,3381.515,2342.58,1901.25,1903.66,2600.21,2436.425,14565.64
22,1,4.957215,2.57193,1.822245,2.268225,1.77043,1.684015,y,2.169735,Positive,5,1,ASC,4957.215,2571.93,1822.245,2268.225,1770.43,1684.015,15074.06
